번호,기업명,직무명,질문
1,(주)싸이버로지텍,백엔드개발자,알고리즘에 대해 많이 풀어 보는가요? 기억에 남는 것이 있었나요?
1,(주)싸이버로지텍,백엔드개발자,자신을 한 단어로 표현해 보세요.
1,(주)싸이버로지텍,백엔드개발자,제가 컵을 만들어달라고 할 건데 이 컵을 어떻게 만들지에 대해 질문해 보세요.
3,(주)가비아,백엔드개발자,이전 직장들의 근속연수가 길지 않은 편인데 이유는 무엇인가?
3,(주)가비아,백엔드개발자,가비아를 어떻게 알고 지원하였는가?
3,(주)가비아,백엔드개발자,PHP와 java의 차이점은 무엇인가?
3,(주)가비아,웹개발자,(포트폴리오를 보고) 교내 경진대회 수상은 무슨 내용인가? 왜 수상했다고 생각했는가?
3,(주)가비아,웹개발자,Kotlin으로 언어를 바꾼 것인가?
3,(주)가비아,웹개발자,api통신은 왜 느린가?
3,(주)가비아,개발,가비아를 자신의 친구들에게 소개시켜준다면 어떻게 소개시켜줄 것인가?
3,(주)가비아,개발,가비아에 대해서 어떻게 알게 되었는가?
3,(주)가비아,개발,가비아에 대해서 얼마나 알고 있는가?
3,(주)가비아,개발,기비아의 핵심사업에 대해 설명해보시오.
3,(주)가비아,개발,마지막으로 하고 싶은 말이 있는가?
3,(주)가비아,개발,자기소개해보시오.
3,(주)가비아,개발,지원동기는 무엇인가?
3,(주)가비아,IT,"대형마트에서 판매 아르바이트를 했다고 하는데, 그때 본인만의 특별한 영업 방식이 있었는가?"
3,(주)가비아,IT,좋은 영업인에게 필요한 덕목은 무엇이라고 생각하는가?
3,(주)가비아,IT,평소에 가족들과 대화를 많이 하는 편인가?
3,(주)가비아,개발,1분 동안 자기소개를 해보시오.
3,(주)가비아,개발,간단히 자기소개해보시오.
3,(주)가비아,개발,"리눅스 명령어, 디렉토리, 스크립트를 어떤 용도로 사용할 것인가?"
3,(주)가비아,개발,어떤 프로젝트를 경험했는지 설명해보시오.
3,(주)가비아,개발,이 직무를 몇년 동안 할 것 같나요?
3,(주)가비아,개발,자소서에 적힌 프로젝트 경험에 대해 설명해보시오.
3,(주)가비아,개발,지원동기는 무엇인가?
3,(주)가비아,개발,클러스터링과 넌클러스터링의 차이점은 무엇인가?
3,(주)가비아,개발,프로젝트 경험에 대해서 말해보시오.
3,(주)가비아,개발,학점이 낮은 이유는 무엇인가?
4,나이스피앤아이(주),백엔드개발자,알고리즘 문제를 많이 풀었는데 다른 기업에는 어떻게 보셨나요?
4,나이스피앤아이(주),백엔드개발자,취미가 무엇인가요?
4,나이스피앤아이(주),백엔드개발자,보안 관련해서 우리한테 설명해주고 싶은 게 있나요?
6,㈜KT,시스템엔지니어,자기소개를 해보세요.
6,㈜KT,시스템엔지니어,힘든점은 없었나요?
6,㈜KT,시스템엔지니어,마지막으로 하고 싶은 말은?
6,㈜KT,네트워크엔지니어,반도체 전공인데 왜 보안을 지원했나요?
6,㈜KT,네트워크엔지니어,자신이 기여할 수 있는 부분이 어떤 부분이라고 생각하나요?
6,㈜KT,네트워크엔지니어,우리 회사에 지원한 이유는?
6,㈜KT,네트워크엔지니어,무모한 도전을 해본 적 있습니까?
6,㈜KT,네트워크엔지니어,"자기소개서를 보면 좋게말하면 다재다능이지만, 돌려말하면 직무에 연관된 점은 적은데 이건 어떻게 생각하십니까?"
6,㈜KT,네트워크엔지니어,급박한 상황에 대한 대처경험이 있습니까?
6,㈜KT,웹기획,KT에서 어떤일을 하고싶은지
6,㈜KT,웹기획,IT컨설팅에 대해서 알고 있는 것은?
6,㈜KT,웹기획,더 하고싶은 말이 있는지
